Datum, Temperatur, Feuchte
2 9 6:36:13 2022,24.40,32.00,
2 9 6:36:18 2022,24.30,33.00,
2 9 6:36:23 2022,24.30,33.00,
2 9 6:36:28 2022,24.30,32.00,
2 9 6:36:33 2022,24.30,32.00,
2 9 6:42:16 2022,24.30,32.00,
2 9 6:42:21 2022,24.20,33.00,
2 9 6:42:41 2022,24.20,33.00,
2 9 6:42:46 2022,24.20,32.00,
2 9 6:42:55 2022,24.20,32.00,
2 9 6:43:0 2022,24.20,32.00,
2 9 6:43:5 2022,24.20,32.00,
2 9 6:43:10 2022,24.20,32.00,
2 9 6:43:15 2022,24.30,32.00,
2 9 6:43:20 2022,24.30,32.00,
2 9 6:43:25 2022,24.30,32.00,
2 9 6:43:30 2022,24.30,32.00,
2 9 6:43:35 2022,24.30,32.00,
2 9 6:43:40 2022,24.30,32.00,
2 9 6:43:45 2022,24.30,32.00,
2 9 6:43:50 2022,24.30,32.00,
2 9 6:43:55 2022,24.30,32.00,
2 9 6:44:0 2022,24.30,32.00,
2 9 6:44:5 2022,24.30,32.00,
2 9 6:44:10 2022,24.30,32.00,
2 9 6:44:15 2022,24.30,32.00,
2 9 6:44:20 2022,24.40,32.00,
2 9 6:44:25 2022,24.40,32.00,
2 9 6:44:30 2022,24.40,32.00,
2 9 6:44:35 2022,24.40,32.00,
2 9 6:44:40 2022,24.40,32.00,
2 9 6:44:46 2022,24.40,32.00,
2 9 6:44:51 2022,24.40,31.00,
2 9 6:44:56 2022,24.40,31.00,
2 9 6:45:1 2022,24.40,31.00,
2 9 6:45:6 2022,24.40,32.00,
2 9 6:45:11 2022,24.40,31.00,
2 9 6:45:16 2022,24.40,31.00,
2 9 6:45:21 2022,24.40,32.00,
2 9 6:45:26 2022,24.50,32.00,
2 9 6:45:31 2022,24.50,32.00,
2 9 6:45:36 2022,24.50,32.00,
2 9 6:45:41 2022,24.50,32.00,
2 9 6:45:46 2022,24.50,32.00,
2 9 6:45:51 2022,24.50,32.00,
2 9 6:45:56 2022,24.50,31.00,
2 9 6:46:1 2022,24.50,31.00,
2 9 6:46:6 2022,24.50,32.00,
2 9 6:46:11 2022,24.50,32.00,
2 9 6:46:16 2022,24.50,33.00,
2 9 6:46:21 2022,24.50,33.00,
2 9 6:46:26 2022,24.50,33.00,
2 9 6:46:31 2022,24.60,32.00,
2 9 6:46:37 2022,24.60,33.00,
2 9 6:46:57 2022,24.60,32.00,
2 9 6:47:3 2022,24.50,32.00,
2 9 6:47:8 2022,24.50,32.00,
2 9 6:47:13 2022,24.50,32.00,
2 9 7:3:58 2022,24.00,35.00,
2 9 7:4:3 2022,24.00,34.00,
2 9 7:4:8 2022,24.00,34.00,
2 9 7:4:24 2022,24.10,34.00,
2 9 7:4:29 2022,24.10,34.00,
2 9 7:4:34 2022,24.10,34.00,
2 9 7:4:39 2022,24.10,33.00,
2 9 7:4:44 2022,24.10,33.00,
2 9 7:4:49 2022,24.10,33.00,
2 9 7:4:54 2022,24.10,33.00,
2 9 7:4:59 2022,24.10,33.00,
2 9 7:5:4 2022,24.00,33.00,
2 9 7:5:10 2022,24.00,33.00,
2 9 7:5:15 2022,24.00,33.00,
2 9 7:17:23 2022,21.20,41.00,
2 9 7:17:28 2022,21.10,42.00,
2 9 7:17:33 2022,21.20,41.00,
2 9 7:17:38 2022,21.20,41.00,
2 9 7:17:43 2022,21.20,41.00,
2 9 7:17:48 2022,21.20,41.00,
2 9 7:17:53 2022,21.20,41.00,
2 9 7:17:58 2022,21.30,41.00,
2 9 7:18:3 2022,21.30,42.00,
2 9 7:18:8 2022,21.30,42.00,
2 9 7:18:13 2022,21.30,43.00,
2 9 7:18:18 2022,21.30,44.00,
2 9 7:18:23 2022,21.40,44.00,
2 9 7:18:28 2022,21.40,44.00,
2 9 7:18:33 2022,21.40,44.00,
2 9 7:18:39 2022,21.50,44.00,
2 9 7:18:44 2022,21.50,43.00,
2 9 7:18:49 2022,21.50,43.00,
2 9 7:18:54 2022,21.50,43.00,
2 9 7:18:59 2022,21.60,43.00,
2 9 7:19:4 2022,21.60,43.00,
2 9 7:19:9 2022,21.60,43.00,
2 9 7:19:14 2022,21.60,43.00,
2 9 7:19:19 2022,21.70,43.00,
2 9 7:19:24 2022,21.70,42.00,
2 9 7:19:29 2022,21.70,42.00,
2 9 7:19:34 2022,21.70,42.00,
2 9 7:19:39 2022,21.70,42.00,
2 9 7:19:44 2022,21.70,41.00,
2 9 7:19:49 2022,21.80,41.00,
2 9 7:19:54 2022,21.80,41.00,
2 9 7:19:59 2022,21.80,41.00,
2 9 7:20:4 2022,21.80,41.00,
2 9 7:20:9 2022,21.80,41.00,
2 9 7:20:14 2022,21.80,40.00,
2 9 7:20:19 2022,21.80,40.00,
2 9 7:20:24 2022,21.70,40.00,
2 9 7:20:29 2022,21.80,40.00,
2 9 7:20:35 2022,21.70,40.00,
2 9 7:20:40 2022,21.70,40.00,
2 9 7:20:45 2022,21.70,40.00,
2 9 7:20:50 2022,21.70,40.00,
2 9 7:20:55 2022,21.80,40.00,
2 9 7:21:0 2022,21.80,40.00,
2 9 7:21:5 2022,21.80,40.00,
2 9 7:21:10 2022,21.80,40.00,
2 9 7:21:15 2022,21.80,40.00,
2 9 7:21:20 2022,21.80,40.00,
2 9 7:21:25 2022,21.80,39.00,
2 9 7:21:30 2022,21.80,39.00,
2 9 7:21:35 2022,21.80,39.00,
2 9 7:21:40 2022,21.80,39.00,
2 9 7:21:45 2022,21.80,39.00,
2 9 7:21:50 2022,21.80,39.00,
2 9 7:21:55 2022,21.80,39.00,
2 9 7:22:0 2022,21.80,39.00,
2 9 7:22:5 2022,21.80,39.00,
2 9 7:22:10 2022,21.80,39.00,
2 9 7:22:15 2022,21.80,39.00,
2 9 7:22:20 2022,21.80,39.00,
2 9 7:22:25 2022,21.80,39.00,
2 9 7:22:31 2022,21.80,39.00,
2 9 7:22:36 2022,21.80,39.00,
2 9 7:22:41 2022,21.80,39.00,
2 9 7:22:46 2022,21.80,39.00,
2 9 7:22:51 2022,21.80,39.00,
2 9 7:22:56 2022,21.80,39.00,
2 9 7:23:1 2022,21.80,39.00,
2 9 7:23:6 2022,21.80,39.00,
2 9 7:23:11 2022,21.80,39.00,
2 9 7:23:16 2022,21.80,39.00,
2 9 7:23:21 2022,21.80,39.00,
2 9 7:23:26 2022,21.80,39.00,
2 9 7:23:31 2022,21.80,39.00,
2 9 7:23:36 2022,21.80,39.00,
2 9 7:23:41 2022,21.80,39.00,
2 9 7:23:46 2022,21.80,39.00,
2 9 7:23:51 2022,21.80,39.00,
2 9 7:23:56 2022,21.80,39.00,
2 9 7:24:1 2022,21.80,39.00,
2 9 7:24:6 2022,21.80,39.00,
2 9 7:24:11 2022,21.80,39.00,
2 9 7:24:16 2022,21.80,39.00,
2 9 7:24:21 2022,21.80,39.00,
2 9 7:24:27 2022,21.80,39.00,
2 9 7:24:32 2022,21.80,39.00,
2 9 7:24:37 2022,21.80,39.00,
2 9 7:24:42 2022,21.80,39.00,
2 9 7:24:47 2022,21.80,39.00,
2 9 7:24:52 2022,21.80,39.00,
2 9 7:24:57 2022,21.80,39.00,
2 9 7:25:2 2022,21.80,39.00,
2 9 7:25:7 2022,21.80,39.00,
2 9 7:25:12 2022,21.80,39.00,
2 9 7:25:17 2022,21.80,39.00,
2 9 7:25:22 2022,21.80,39.00,
2 9 7:25:27 2022,21.80,39.00,
2 9 7:25:32 2022,21.80,39.00,
2 9 7:25:37 2022,21.80,39.00,
2 9 7:25:42 2022,21.80,38.00,
2 9 7:25:47 2022,21.80,38.00,
2 9 7:25:52 2022,21.80,38.00,
2 9 7:25:57 2022,21.80,38.00,
2 9 7:26:2 2022,21.80,38.00,
2 9 7:26:7 2022,21.80,38.00,
2 9 7:26:12 2022,21.80,38.00,
2 9 7:26:17 2022,21.80,38.00,
2 9 7:26:23 2022,21.80,38.00,
2 9 7:26:28 2022,21.80,38.00,
2 9 7:26:33 2022,21.80,38.00,
2 9 7:26:38 2022,21.80,38.00,
2 9 7:26:43 2022,21.80,38.00,
2 9 7:26:48 2022,21.80,38.00,
2 9 7:26:53 2022,21.80,38.00,
2 9 7:26:58 2022,21.80,38.00,
2 9 7:27:3 2022,21.80,38.00,
2 9 7:36:34 2022,20.70,42.00,
2 9 7:36:40 2022,20.70,42.00,
2 9 7:36:45 2022,20.60,42.00,
2 9 7:36:50 2022,20.60,41.00,
2 9 7:36:55 2022,20.50,41.00,
2 9 7:37:0 2022,20.40,41.00,
2 9 7:37:5 2022,20.30,40.00,
2 9 7:37:10 2022,20.10,40.00,
2 9 7:37:15 2022,20.00,40.00,
2 9 7:37:20 2022,19.80,40.00,
2 9 7:37:25 2022,19.70,40.00,
2 9 7:37:30 2022,19.50,40.00,
2 9 7:37:35 2022,19.40,41.00,
2 9 7:37:40 2022,19.30,41.00,
2 9 7:37:45 2022,19.20,42.00,
2 9 7:37:50 2022,19.10,42.00,
2 9 7:37:55 2022,19.00,43.00,
2 9 7:38:0 2022,19.00,43.00,
2 9 7:38:5 2022,19.00,44.00,
2 9 7:38:10 2022,18.90,44.00,
2 9 7:38:15 2022,18.90,45.00,
2 9 7:38:20 2022,18.90,45.00,
2 9 7:38:25 2022,18.90,45.00,
2 9 7:38:30 2022,18.90,45.00,
2 9 7:38:36 2022,18.90,44.00,
2 9 7:38:41 2022,18.90,44.00,
2 9 7:38:46 2022,18.80,45.00,
2 9 7:38:51 2022,18.80,45.00,
2 9 7:38:56 2022,18.80,45.00,
2 9 7:39:1 2022,18.70,45.00,
2 9 7:39:6 2022,18.70,45.00,
2 9 7:39:11 2022,18.60,45.00,
2 9 7:39:16 2022,18.60,45.00,
2 9 7:39:21 2022,18.60,45.00,
2 9 7:39:26 2022,18.50,44.00,
2 9 7:39:31 2022,18.40,45.00,
2 9 7:39:36 2022,18.30,45.00,
2 9 7:39:41 2022,18.30,45.00,
2 9 7:39:46 2022,18.20,46.00,
2 9 7:39:51 2022,18.20,45.00,
2 9 7:39:56 2022,18.10,46.00,
2 9 7:40:1 2022,18.00,46.00,
2 9 7:40:6 2022,18.00,46.00,
2 9 7:40:11 2022,17.90,45.00,
2 9 7:40:16 2022,17.90,45.00,
2 9 7:40:21 2022,17.80,45.00,
2 9 7:40:26 2022,17.80,46.00,
2 9 7:40:32 2022,17.80,46.00,
2 9 7:40:37 2022,17.70,46.00,
2 9 7:40:42 2022,17.70,46.00,
2 9 7:40:47 2022,17.60,46.00,
2 9 7:40:52 2022,17.60,46.00,
2 9 7:40:57 2022,17.50,46.00,
2 9 7:41:2 2022,17.50,46.00,
2 9 7:41:7 2022,17.50,47.00,
2 9 7:41:12 2022,17.40,47.00,
2 9 7:41:17 2022,17.30,47.00,
2 9 7:41:22 2022,17.30,47.00,
2 9 7:41:27 2022,17.30,47.00,
2 9 7:41:32 2022,17.30,47.00,
2 9 7:41:37 2022,17.30,47.00,
2 9 7:41:42 2022,17.30,47.00,
2 9 7:41:47 2022,17.30,48.00,
2 9 7:41:52 2022,17.30,48.00,
2 9 7:41:57 2022,17.40,48.00,
2 9 7:42:2 2022,17.40,48.00,
2 9 7:42:7 2022,17.40,48.00,
2 9 7:42:12 2022,17.40,48.00,
2 9 7:42:17 2022,17.40,48.00,
2 9 7:42:22 2022,17.40,48.00,
2 9 7:42:28 2022,17.40,48.00,
2 9 7:42:33 2022,17.40,48.00,
2 9 7:42:38 2022,17.50,48.00,
2 9 7:42:43 2022,17.40,48.00,
2 9 7:42:48 2022,17.40,48.00,
2 9 7:42:53 2022,17.50,48.00,
2 9 7:42:58 2022,17.50,48.00,
2 9 7:43:3 2022,17.50,47.00,
2 9 7:43:8 2022,17.40,47.00,
2 9 7:43:13 2022,17.40,47.00,
2 9 7:43:18 2022,17.30,47.00,
2 9 7:43:23 2022,17.20,47.00,
2 9 7:43:28 2022,17.20,47.00,
2 9 7:43:33 2022,17.20,47.00,
2 9 7:43:38 2022,17.10,47.00,
2 9 7:43:43 2022,17.10,48.00,
2 9 7:43:48 2022,17.00,48.00,
2 9 7:43:53 2022,17.00,48.00,
2 9 7:43:58 2022,17.00,48.00,
2 9 7:44:3 2022,17.00,48.00,
2 9 7:44:8 2022,16.90,48.00,
2 9 7:44:13 2022,16.90,48.00,
2 9 7:44:18 2022,16.90,48.00,
2 9 7:44:24 2022,16.90,48.00,
2 9 7:44:29 2022,16.80,48.00,
2 9 7:44:34 2022,16.80,48.00,
2 9 7:44:39 2022,16.80,48.00,
2 9 7:44:44 2022,16.80,48.00,
2 9 7:44:49 2022,16.80,49.00,
2 9 7:44:54 2022,16.70,49.00,
2 9 7:44:59 2022,16.70,49.00,
2 9 7:45:4 2022,16.70,49.00,
2 9 7:45:9 2022,16.60,49.00,
2 9 7:45:14 2022,16.60,49.00,
2 9 7:45:19 2022,16.50,49.00,
2 9 7:45:24 2022,16.50,49.00,
2 9 7:45:29 2022,16.50,50.00,
2 9 7:45:34 2022,16.50,50.00,
2 9 7:45:39 2022,16.60,49.00,
2 9 7:45:44 2022,16.60,49.00,
2 9 7:45:49 2022,16.60,49.00,
2 9 7:45:54 2022,16.60,50.00,
2 9 7:45:59 2022,16.60,50.00,
2 9 7:46:4 2022,16.60,50.00,
2 9 7:46:9 2022,16.60,50.00,
2 9 7:46:14 2022,16.60,50.00,
2 9 7:46:20 2022,16.70,50.00,
2 9 7:46:25 2022,16.70,50.00,
2 9 7:46:30 2022,16.70,49.00,
2 9 7:46:35 2022,16.80,49.00,
2 9 7:46:40 2022,16.80,49.00,
2 9 7:46:45 2022,16.80,49.00,
2 9 7:46:50 2022,16.80,49.00,
2 9 7:46:55 2022,16.70,50.00,
2 9 7:47:0 2022,16.80,50.00,
2 9 7:47:5 2022,16.80,49.00,
2 9 7:47:10 2022,16.80,49.00,
2 9 7:47:15 2022,16.70,49.00,
2 9 7:57:38 2022,16.10,58.00,
2 9 7:57:43 2022,16.20,59.00,
2 9 7:57:48 2022,16.40,58.00,
2 9 7:57:53 2022,16.60,58.00,
2 9 7:57:58 2022,16.90,59.00,
2 9 7:58:3 2022,17.00,59.00,
2 9 7:58:8 2022,17.20,59.00,
2 9 7:58:13 2022,17.30,58.00,
2 9 7:58:18 2022,17.50,58.00,
2 9 7:58:23 2022,17.60,57.00,
2 9 7:58:28 2022,17.80,57.00,
2 9 7:58:33 2022,17.90,57.00,
2 9 7:58:38 2022,18.00,57.00,
2 9 7:58:43 2022,18.10,57.00,
2 9 7:58:48 2022,18.20,56.00,
2 9 7:58:53 2022,18.30,56.00,
2 9 7:58:58 2022,18.40,56.00,
2 9 7:59:3 2022,18.50,55.00,
2 9 7:59:8 2022,18.50,55.00,
2 9 7:59:14 2022,18.60,55.00,
2 9 7:59:19 2022,18.80,54.00,
2 9 7:59:24 2022,18.80,54.00,
2 9 7:59:29 2022,18.90,53.00,
2 9 7:59:34 2022,19.00,53.00,
2 9 7:59:39 2022,19.00,53.00,
2 9 7:59:44 2022,19.10,52.00,
2 9 7:59:49 2022,19.20,52.00,
2 9 7:59:54 2022,19.30,51.00,
2 9 7:59:59 2022,19.30,50.00,
2 9 8:0:4 2022,19.30,50.00,
2 9 8:0:9 2022,19.40,50.00,
2 9 8:0:14 2022,19.50,49.00,
2 9 8:0:19 2022,19.50,49.00,
2 9 8:0:24 2022,19.60,49.00,
2 9 8:0:29 2022,19.60,49.00,
2 9 8:0:34 2022,19.70,49.00,
2 9 8:0:39 2022,19.80,49.00,
2 9 8:0:44 2022,19.80,48.00,
2 9 8:0:49 2022,19.90,48.00,
2 9 8:0:54 2022,19.90,47.00,
2 9 8:0:59 2022,20.00,47.00,
2 9 8:1:4 2022,20.10,46.00,
2 9 8:1:10 2022,20.10,46.00,
2 9 8:1:15 2022,20.20,46.00,
2 9 8:1:20 2022,20.20,46.00,
2 9 8:1:25 2022,20.20,45.00,
2 9 8:1:30 2022,20.20,45.00,
2 9 8:1:35 2022,20.30,45.00,
2 9 8:1:40 2022,20.30,45.00,
2 9 8:1:45 2022,20.40,45.00,
2 9 8:1:50 2022,20.40,45.00,
2 9 8:1:55 2022,20.50,45.00,
2 9 8:2:0 2022,20.50,45.00,
2 9 8:2:5 2022,20.60,45.00,
2 9 8:2:10 2022,20.60,45.00,
2 9 8:2:15 2022,20.60,44.00,
2 9 8:2:20 2022,20.70,44.00,
2 9 8:2:25 2022,20.70,44.00,
2 9 8:2:30 2022,20.80,44.00,
2 9 8:2:35 2022,20.80,44.00,
2 9 8:2:40 2022,20.80,44.00,
2 9 8:2:45 2022,20.90,44.00,
2 9 8:2:50 2022,20.90,44.00,
2 9 8:2:55 2022,21.00,44.00,
2 9 8:3:0 2022,21.10,44.00,
2 9 8:3:6 2022,21.10,44.00,
2 9 8:3:11 2022,21.20,44.00,
2 9 8:3:16 2022,21.20,44.00,
2 9 8:3:21 2022,21.20,44.00,
2 9 8:3:26 2022,21.30,44.00,
2 9 8:3:31 2022,21.30,44.00,
2 9 8:3:36 2022,21.30,44.00,
2 9 8:3:41 2022,21.30,44.00,
2 9 8:3:46 2022,21.30,44.00,
2 9 8:3:51 2022,21.30,44.00,
2 9 8:3:56 2022,21.40,43.00,
2 9 8:4:1 2022,21.40,43.00,
2 9 8:4:6 2022,21.40,43.00,
2 9 8:4:11 2022,21.40,43.00,
2 9 8:4:16 2022,21.40,43.00,
2 9 8:4:21 2022,21.50,43.00,
2 9 8:4:26 2022,21.50,43.00,
2 9 8:4:31 2022,21.40,43.00,
2 9 8:4:36 2022,21.50,43.00,
2 9 8:4:41 2022,21.50,43.00,
2 9 8:4:46 2022,21.50,43.00,
2 9 8:4:51 2022,21.60,43.00,
2 9 8:4:56 2022,21.50,43.00,
2 9 8:5:2 2022,21.50,43.00,
2 9 8:5:7 2022,21.60,43.00,
2 9 8:5:12 2022,21.60,43.00,
2 9 8:5:17 2022,21.60,43.00,
2 9 8:5:22 2022,21.60,43.00,
2 9 8:5:27 2022,21.60,43.00,
2 9 8:5:32 2022,21.60,43.00,
2 9 8:5:37 2022,21.60,44.00,
2 9 8:5:42 2022,21.70,44.00,
2 9 8:5:47 2022,21.70,44.00,
2 9 8:5:52 2022,21.70,43.00,
2 9 8:5:57 2022,21.70,43.00,
2 9 8:6:2 2022,21.80,43.00,
2 9 8:6:7 2022,21.80,43.00,
2 9 8:6:12 2022,21.80,42.00,
2 9 8:6:17 2022,21.80,42.00,
2 9 8:16:52 2022,21.50,42.00,
2 9 8:16:57 2022,21.40,43.00,
2 9 8:17:2 2022,21.50,42.00,
2 9 8:17:8 2022,21.60,41.00,
2 9 8:17:13 2022,21.60,41.00,
2 9 8:17:18 2022,21.70,41.00,
2 9 8:17:23 2022,21.70,40.00,
2 9 8:17:28 2022,21.70,40.00,
2 9 8:17:33 2022,21.80,40.00,
2 9 8:17:38 2022,21.80,40.00,
2 9 8:17:43 2022,21.80,40.00,
2 9 8:17:48 2022,21.80,40.00,
2 9 8:17:53 2022,21.80,40.00,
2 9 8:17:58 2022,21.80,39.00,
2 9 8:18:3 2022,21.80,39.00,
2 9 8:18:8 2022,21.90,39.00,
2 9 8:18:13 2022,21.90,39.00,
2 9 8:18:18 2022,21.90,39.00,
2 9 8:18:23 2022,21.90,39.00,
2 9 8:18:28 2022,22.00,40.00,
2 9 8:18:33 2022,22.00,40.00,
2 9 8:18:38 2022,22.00,40.00,
2 9 8:18:43 2022,22.10,40.00,
2 9 8:18:48 2022,22.10,40.00,
2 9 8:18:53 2022,22.10,39.00,
2 9 8:18:58 2022,22.10,39.00,
2 9 8:19:4 2022,22.10,39.00,
2 9 8:19:9 2022,22.20,39.00,
2 9 8:19:14 2022,22.20,39.00,
2 9 8:19:19 2022,22.20,39.00,
2 9 8:19:24 2022,22.20,39.00,
2 9 8:19:29 2022,22.20,39.00,
2 9 8:19:34 2022,22.20,39.00,
2 9 8:19:39 2022,22.20,39.00,
2 9 8:19:44 2022,22.20,39.00,
2 9 8:19:49 2022,22.30,39.00,
2 9 8:19:54 2022,22.30,39.00,
2 9 8:19:59 2022,22.30,39.00,
2 9 8:20:4 2022,22.30,39.00,
2 9 8:20:9 2022,22.30,39.00,
2 9 8:20:14 2022,22.30,39.00,
2 9 8:20:19 2022,22.30,39.00,
2 9 8:20:24 2022,22.30,38.00,
2 9 8:20:29 2022,22.40,38.00,
2 9 8:20:34 2022,22.40,38.00,
2 9 8:20:39 2022,22.40,38.00,
2 9 8:20:44 2022,22.40,38.00,
2 9 8:20:49 2022,22.40,38.00,
2 9 8:20:54 2022,22.40,38.00,
2 9 8:21:0 2022,22.40,38.00,
2 9 8:21:5 2022,22.40,38.00,
2 9 8:21:10 2022,22.50,38.00,
2 9 8:21:15 2022,22.50,38.00,
2 9 8:21:20 2022,22.50,38.00,
2 9 8:21:25 2022,22.50,38.00,
